node_id,pagerank,community
Trey Parker,1.2679274038526596,2163
Brad Furman,1.262690799656333,1292
Tobe Hooper,1.2528268050810354,1220
Morten Tyldum,1.2517648260044036,3433
George Lucas,1.2467459270011019,2163
Rupert Wainwright,1.2461618879180996,3368
Kevin Costner,1.2449868618803455,1696
Elizabeth Allen Rosenbaum,1.2396511819297844,4666
Shekhar Kapur,1.236560242511271,3282
Philip Kaufman,1.2352776974915936,4903
Brian Levant,1.2348706690655131,3663
Mira Nair,1.2338898016000324,3059
Mick Jackson,1.2324005172531713,2626
James Isaac,1.2324005172531713,2626
Eric Brevig,1.2323549429484946,3123
"Anthony Russo, Joe Russo",1.231281992331009,3578
Phil Joanou,1.231199753051059,2132
Bob Clark,1.228456510657255,1509
Edgar Wright,1.2239710971289726,1426
Andrew Fleming,1.2214773027470094,3368
Pierre Morel,1.220147789184769,1426
Don Bluth,1.220147789184769,1426
David Frankel,1.2169819229004188,3578
John Schlesinger,1.2144155609013654,3589
Seth Gordon,1.211960624944136,3282
Fernando Meirelles,1.211960624944136,3282
Joachim Rønning,1.2111814071852167,4948
Ken Kwapis,1.209731809972807,3368
John Francis Daley,1.207745675784627,3578
Mary Lambert,1.205118088323769,1696
Ted Demme,1.2021186630821412,4948
Marc Webb,1.2014977758165466,3163
Steve Miner,1.2013629928981395,5181
Bong Joon Ho,1.2006856810461555,1220
Andrew Douglas,1.2000989191292815,4663
Justin Kurzel,1.1996770636710306,4948
Directors,1.1977948317468272,3212
Thom Eberhardt,1.1977948317468272,3212
Lee Unkrich,1.1963718785734725,3578
Stiles White,1.194813490428683,3395
Olivia Wilde,1.194325075919648,5387
Alexandre Aja,1.1886907244626965,3433
Brad Peyton,1.1874304193692504,5222
"Daniel Kwan, Daniel Scheinert",1.1874304193692504,5222
Lee Toland Krieger,1.1846433027281116,3624
Thor Freudenthal,1.1846433027281116,3624
Jon Watts,1.1841242491731747,1280
Isao Takahata,1.1822604291185093,5139
Bernard Rose,1.1815811079454732,1426
Barry Jenkins,1.1809714735370767,3478
Tim Johnson,1.1795595934028955,5034
Ole Bornedal,1.1795595934028955,5034
Jay Chandrasekhar,1.1795595934028955,5034
Dennis Iliadis,1.1786930405758835,5033
Don Scardino,1.1760339729984997,3282
Sam Hargrave,1.175903678265621,1292
"Joe Russo, Anthony Russo",1.1743629336405785,3578
Tomas Alfredson,1.1705917489888904,1280
Andy Tennant,1.16988076292086,4948
Andy Muschietti,1.167517271264756,1696
Ron Underwood,1.1666724614207815,1351
Jonathan Frakes,1.1645928459714645,4685
Josh Trank,1.1622295153227455,3624
Joseph Zito,1.161923256020264,5222
Lynne Ramsay,1.1592077590344438,2666
Mike Binder,1.1587195317872125,5139
Rupert Sanders,1.1560571236487862,5139
Denzel Washington,1.1523261966839602,5222
"Eric Darnell, Tom McGrath",1.152108611081585,1426
Harold Becker,1.1493685719105158,1292
Frederik Du Chau,1.1485811914898372,3282
Kevin Greutert,1.145326060888033,5034
Brian Henson,1.14482095521314,1509
Brad Anderson,1.144077709027762,3578
John Hamburg,1.1422776923369053,3395
Dave Green,1.1380027083634252,4903
Justin Lin,1.13433984973032,3370
Kar-Wai Wong,1.13433984973032,1418
Stephen Chow,1.13433984973032,1581
Vincent D'Onofrio,1.13433984973032,1647
Deniz Gamze Ergüven,1.13433984973032,1992
Hal Hartley,1.13433984973032,2360
Paul Golding,1.13433984973032,2716
Claude Chabrol,1.13433984973032,2797
